033270의 제 32 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 32 기는 언제야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 33 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 33 기는 언제야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 34 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 제 34 기는 언제야?	SELECT thstrm_dt FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 2018연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2018
033270의 2019연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2019
033270의 2020연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2020
033270의 제 32 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 33 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 34 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 2018연도 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2018
033270의 2019연도 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2019
033270의 2020연도 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2020
033270의 제 32 기 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 33 기 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 34 기 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 2018연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2018
033270의 2019연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2019
033270의 2020연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2020
033270의 제 32 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 33 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 34 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 2018연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2018
033270의 2019연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2019
033270의 2020연도의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2020
033270의 제 32 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 32 기"
033270의 제 33 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 33 기"
033270의 제 34 기의 접수번호는 뭐야?	SELECT rcept_no FROM "033270" WHERE thstrm_nm = "제 34 기"
033270의 2018연도 의 접수번호는?	SELECT rcept_no FROM "033270" WHERE bsns_year = 2018
